,地区,种类,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
40,天津市,葡萄园面积,4.02,5.27,6.0,5.72,5.88,5.64,5.1,5.19,5.38,5.09,5.18,5.31,5.15,,4.8,5.2,5.3,5.3,,
41,天津市,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
42,宁夏回族自治区,果园面积,,,,,,,,,,,100.28,119.47,124.92,130.27,137.68,137.7,137.83,136.33,79.59,
43,宁夏回族自治区,水果产量,43.31,19.32,53.32,59.53,71.22,68.56,69.61,114.25,153.83,185.75,202.43,228.86,237.28,250.54,264.31,290.24,298.94,305.77,210.6,
44,宁夏回族自治区,苹果产量,17.05,15.95,12.66,12.47,15.49,15.63,22.21,20.07,27.55,28.35,32.75,35.44,40.89,48.94,51.05,53.9,53.42,57.17,43.98,
45,宁夏回族自治区,苹果园面积,23.67,21.73,20.91,20.36,20.36,18.33,19.12,20.25,21.54,31.49,33.52,40.43,40.46,39.81,41.8,41.8,38.0,38.5,,
46,宁夏回族自治区,葡萄园面积,4.18,5.42,6.61,6.99,7.12,6.92,7.75,8.75,10.21,14.03,20.21,28.72,27.11,29.22,33.4,34.0,32.4,33.2,,
47,宁夏回族自治区,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
48,安徽省,果园面积,,,,,,,,,,,104.5,107.13,110.01,116.47,118.22,118.2,128.08,132.44,138.02,
49,安徽省,水果产量,649.04,110.61,756.24,819.24,609.07,719.57,711.59,733.59,749.51,691.86,745.76,805.3,846.62,885.4,905.06,965.28,1029.8,1043.49,606.35,
50,安徽省,苹果产量,30.85,30.2,25.97,29.66,22.13,28.35,27.81,34.18,40.36,30.49,36.9,40.69,41.12,38.66,36.05,39.23,37.51,37.4,19.99,
51,安徽省,苹果园面积,24.74,23.6,20.68,17.93,17.09,16.07,13.91,13.43,13.31,17.12,16.1,16.81,16.83,15.49,15.6,15.6,13.8,13.7,,
52,安徽省,葡萄园面积,3.54,4.6,5.06,8.01,7.58,9.11,6.02,5.84,5.19,6.24,6.78,9.43,9.6,13.45,14.8,17.1,19.1,20.2,,
53,安徽省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
54,山东省,果园面积,,,,,,,,,,,591.55,580.99,591.97,596.28,633.85,633.9,652.64,653.29,579.41,
55,山东省,水果产量,1954.49,966.63,2243.64,2207.47,2526.0,2478.53,2546.84,2513.4,2541.17,2612.62,2728.25,2793.85,2850.83,2924.51,3028.84,3134.05,3218.61,3255.43,2804.3,
56,山东省,苹果产量,643.27,647.66,616.38,500.0,611.86,669.06,671.66,693.05,724.92,763.18,771.05,798.84,837.94,871.04,930.47,929.7,958.43,978.13,939.52,
57,山东省,苹果园面积,498.2,444.34,397.68,368.95,357.27,340.48,342.47,311.08,304.88,276.32,270.4,264.63,276.27,279.6,303.4,303.4,299.7,301.3,,
58,山东省,葡萄园面积,29.22,36.52,49.67,54.6,65.91,50.91,46.45,42.33,44.23,36.66,37.9,35.95,35.81,37.52,39.9,41.0,43.3,41.0,,
59,山东省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
