,地区,种类,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
176,陕西省,水果产量,569.87,493.79,572.22,612.88,730.94,858.15,906.14,1053.17,1124.95,1246.97,1366.06,1476.48,1587.14,1693.82,1764.41,1849.92,1930.9,2017.84,1922.06,
177,陕西省,苹果产量,399.27,388.57,391.27,392.16,461.79,555.21,560.12,649.98,701.57,745.51,805.17,856.01,902.93,965.09,942.82,988.01,1037.3,1100.78,1092.46,
178,陕西省,苹果园面积,413.63,395.46,374.29,369.03,401.5,412.1,426.27,462.15,484.86,530.87,564.93,601.52,623.19,645.21,665.2,665.2,695.1,704.8,,
179,陕西省,葡萄园面积,4.38,5.31,6.87,10.28,11.4,12.68,13.9,14.73,15.11,17.67,23.85,28.84,31.62,35.25,40.2,46.6,49.2,51.7,,
180,陕西省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
181,青海省,果园面积,,,,,,,,,,,4.51,5.09,5.05,6.84,6.84,6.8,8.23,7.59,6.24,
182,青海省,水果产量,2.69,2.24,2.19,2.41,2.4,2.8,2.6,2.37,3.3,3.26,3.34,3.84,4.44,3.68,2.96,2.57,3.62,4.02,3.65,
183,青海省,苹果产量,1.59,1.41,0.97,0.91,0.82,0.72,0.73,0.59,0.58,0.58,0.57,0.57,0.58,0.59,0.54,0.48,0.64,0.44,0.36,
184,青海省,苹果园面积,4.11,3.99,3.91,3.87,3.87,5.3,2.81,2.92,2.66,2.52,2.49,2.07,2.04,1.66,1.6,1.6,0.8,1.2,,
185,青海省,葡萄园面积,,0.03,0.02,0.04,0.05,0.05,,,0.02,,0.03,0.06,0.06,0.05,0.1,0.1,0.1,0.1,,
186,青海省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
187,黑龙江省,果园面积,,,,,,,,,,,35.34,36.15,34.98,35.33,34.24,34.2,33.93,34.17,27.2,
188,黑龙江省,水果产量,239.09,19.21,357.18,385.18,356.72,315.58,352.56,413.76,373.29,367.55,267.67,279.64,279.88,268.58,274.37,258.74,213.46,259.88,236.91,
189,黑龙江省,苹果产量,9.7,11.21,10.97,18.31,16.91,16.0,17.74,15.98,15.05,13.83,14.07,11.7,11.4,15.07,14.06,14.89,17.62,14.95,14.45,
190,黑龙江省,苹果园面积,32.23,28.6,25.2,28.83,18.37,16.08,15.49,13.33,13.17,11.95,12.0,11.42,10.85,11.64,11.6,11.6,12.4,10.4,,
191,黑龙江省,葡萄园面积,1.48,2.02,1.64,1.59,2.1,1.63,1.71,1.63,1.78,2.73,2.48,2.99,2.97,3.96,3.9,4.9,4.6,5.6,,
192,黑龙江省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
