name,type,value,date
甘肃省,甘肃,27730.09,2011年
甘肃省,甘肃,35255.26,2012年
甘肃省,甘肃,40780.58,2013年
甘肃省,甘肃,51198.03,2014年
甘肃省,甘肃,72537.14,2015年
甘肃省,甘肃,125040.52,2016年
甘肃省,甘肃,148095.94,2017年
福建省,福建,316623.39,2011年
福建省,福建,420985.45,2012年
福建省,福建,615612.7,2013年
福建省,福建,810814.95,2014年
福建省,福建,1008474.84,2015年
福建省,福建,1348336.26,2016年
福建省,福建,1619683.4,2017年
西藏自治区,西藏,11750.04,2011年
西藏自治区,西藏,12989.23,2012年
西藏自治区,西藏,14847.16,2013年
西藏自治区,西藏,17384.48,2014年
西藏自治区,西藏,16826.27,2015年
西藏自治区,西藏,20712.96,2016年
西藏自治区,西藏,20487.68,2017年
贵州省,贵州,36576.79,2011年
贵州省,贵州,40386.78,2012年
贵州省,贵州,60342.12,2013年
贵州省,贵州,98170.59,2014年
贵州省,贵州,132428.32,2015年
贵州省,贵州,217919.14,2016年
贵州省,贵州,311536.77,2017年
辽宁省,辽宁,151316.84,2011年
辽宁省,辽宁,179310.56,2012年
辽宁省,辽宁,227256.89,2013年
辽宁省,辽宁,300127.28,2014年
辽宁省,辽宁,395949.47,2015年
辽宁省,辽宁,556909.25,2016年
辽宁省,辽宁,680585.56,2017年
重庆市,重庆,76828.79,2011年
重庆市,重庆,103426.5,2012年
重庆市,重庆,136957.51,2013年
重庆市,重庆,201060.02,2014年
重庆市,重庆,286533.22,2015年
重庆市,重庆,389617.16,2016年
重庆市,重庆,447311.33,2017年
陕西省,陕西,83740.61,2011年
陕西省,陕西,101893.62,2012年
陕西省,陕西,133660.99,2013年
陕西省,陕西,179548.31,2014年
陕西省,陕西,272792.12,2015年
陕西省,陕西,456462.18,2016年
陕西省,陕西,563581.13,2017年
青海省,青海,8713.11,2011年
青海省,青海,9844.12,2012年
青海省,青海,11903.46,2013年
青海省,青海,15442.21,2014年
青海省,青海,18236.57,2015年
青海省,青海,30040.47,2016年
青海省,青海,38832.85,2017年
黑龙江省,黑龙,71495.08,2011年
黑龙江省,黑龙,81909.51,2012年
黑龙江省,黑龙,100134.03,2013年
黑龙江省,黑龙,124136.27,2014年
黑龙江省,黑龙,213466.81,2015年
黑龙江省,黑龙,331634.73,2016年
黑龙江省,黑龙,358414.76,2017年
